Date,Volume,Price
2012-06-12,9566.774494,5.9
2012-06-13,3275.409576,6
2012-06-14,1414.930027,5.91
2012-06-15,2356.937357,6.42
2012-06-16,694.6493062,6.52
2012-06-17,843.9904574,6.47
2012-06-18,2065.098653,6.34
2012-06-19,1519.211581,6.49
2012-06-20,1961.4982255099999,6.67
2012-06-21,517.9776472,6.69
2012-06-22,915.9319592,6.67
2012-06-23,1129.758138,6.59
2012-06-24,1240.976555,6.45
2012-06-25,1456.364489,6.35
2012-06-26,2199.136015,6.46
2012-06-27,11369.53581,6.68
2012-06-28,8177.257445,6.54
2012-06-29,4606.4230615100005,6.63
2012-06-30,239.8300075,6.61
2012-07-01,341.4458868,6.62
2012-07-02,1789.643053,6.64
2012-07-03,1933.418743,6.66
2012-07-04,2004.263775,6.55
2012-07-05,1480.87243,6.66
2012-07-06,1621.061497,6.6
2012-07-07,1466.890064,6.8
2012-07-08,753.2935183,6.77
2012-07-09,1822.754874,7
2012-07-10,1526.769522,7.13
2012-07-11,1074.54775,7.15
2012-07-12,2168.158642,7.63
2012-07-13,923.03467,7.69
2012-07-14,757.2336758,7.58
2012-07-15,339.4192573,7.57
2012-07-16,3865.148073,8.8
2012-07-17,3707.047331,8.9
2012-07-18,2427.211473,9.15
2012-07-19,2798.164378,9.2
2012-07-20,1881.445942,8.7
2012-07-21,1721.818997,8.91
2012-07-22,1767.918574,8.8
2012-07-23,2214.119418,8.88
2012-07-24,1158.147858,8.8
2012-07-25,1824.160925,8.67
2012-07-26,813.1798807,8.83
2012-07-27,711.8534806,8.91
2012-07-28,1485.676653,9
2012-07-29,1799.838529,8.77
2012-07-30,1560.772938,9.1
2012-07-31,1465.009706,9.38
2012-08-01,2027.568029,9.5
2012-08-02,2345.230727,10.52
2012-08-03,2331.114305,12
2012-08-04,776.2178937,11.16
2012-08-05,1635.89938,10.71
2012-08-06,2130.534484,10.99
2012-08-07,1267.816951,10.9
2012-08-08,2962.491364,11.04
2012-08-09,2984.183825,12.49
2012-08-10,1516.317912,11.5
2012-08-11,311.8945884,11.4
2012-08-12,966.7582739,11.79
2012-08-13,3446.0024211200002,12
2012-08-14,2109.171269,12.3
2012-08-15,1610.054342,13.25
2012-08-16,1377.611559,13.57
2012-08-17,4852.693648,16.41
2012-08-18,2655.878848,12.63
2012-08-19,6843.9561866799995,11.13
2012-08-20,2042.149915,10.33
2012-08-21,3355.565061,10.51
2012-08-22,7899.235309,10.71
2012-08-23,2834.612374,10.19
2012-08-24,4135.212083,10.58
2012-08-25,789.3661079,10.62
2012-08-26,1458.005182,10.62
2012-08-27,4589.900213,11.93
2012-08-28,3790.460721,11.21
2012-08-29,3394.030999,11.05
2012-08-30,1717.64647,10.9
2012-08-31,2627.230154,10.8
2012-09-01,665.4696929,10.15
2012-09-02,1403.718119,10.18
2012-09-03,1138.766397,10.55
2012-09-04,2959.430729,10.5
2012-09-05,1716.977381,10.99
2012-09-06,3280.935497,11.15
2012-09-07,1219.82588,11.09
2012-09-08,1303.028126,11.11
2012-09-09,1445.012124,11.04
2012-09-10,2464.240301,11.08
2012-09-11,5226.138148,11.11
2012-09-12,1825.105195,11.21
2012-09-13,2802.811584,11.42
2012-09-14,1408.127808,11.7
2012-09-15,1066.803089,11.78
2012-09-16,817.6196465,11.8
2012-09-17,766.0722226,11.88
2012-09-18,3762.387452,12.28
2012-09-19,1281.175597,12.5
2012-09-20,783.8453457,12.66
2012-09-21,1977.803712,12.35
2012-09-22,735.1677942,12.16
2012-09-23,1040.862293,12
2012-09-24,1896.707289,11.99
2012-09-25,2929.051527,12.18
2012-09-26,3129.270424,12.2
2012-09-27,3012.061489,12.38
2012-09-28,2873.31577,12.28
2012-09-29,528.4216999,12.28
2012-09-30,143.6799677,12.28
2012-10-01,3254.295767,12.27
2012-10-02,4649.838964,12.7
2012-10-03,5149.265903,12.99
2012-10-04,3453.144749,12.9
2012-10-05,4901.702446,12.7
2012-10-06,1818.4960858700001,12.6
2012-10-07,3407.5259285300003,12.45
2012-10-08,2612.662728,11.73
2012-10-09,1953.114245,12.26
2012-10-10,2896.517865,12.25
2012-10-11,1878.234369,12.09
2012-10-12,651.6648782,12.1
2012-10-13,483.7765066,12
2012-10-14,803.9102947,11.9
2012-10-15,2958.114618,11.84
2012-10-16,1153.042601,11.94
2012-10-17,2893.026102,11.97
2012-10-18,6530.244469,11.9
2012-10-19,4876.423569,11.77
2012-10-20,702.1149562,11.7
2012-10-21,2108.518693,11.6
2012-10-22,2375.591547,11.57
2012-10-23,2685.454904,11.7
2012-10-24,2938.991263,11.62
2012-10-25,2858.068254,11.39
2012-10-26,2392.395894,10.84
2012-10-27,1966.601983,10.75
2012-10-28,1421.817087,10.75
2012-10-29,2287.165924,10.81
2012-10-30,3487.680514,10.81
2012-10-31,2343.51102,11
2012-11-01,1696.505957,11.05
2012-11-02,2884.246106,10.96
2012-11-03,1200.838497,10.68
2012-11-04,2331.290002,10.64
2012-11-05,5852.752722,10.8
2012-11-06,3703.419004,10.8
2012-11-07,3206.404042,10.84
2012-11-08,3010.051131,10.84
2012-11-09,2097.417858,10.84
2012-11-10,1087.582798,10.87
2012-11-11,575.3774649,10.85
2012-11-12,1197.563328,10.95
2012-11-13,2460.668311,10.99
2012-11-14,1340.004125,10.98
2012-11-15,2898.2835848199998,11.08
2012-11-16,6688.435746,11.65
2012-11-17,711.3056957,11.65
2012-11-18,1104.657337,11.64
2012-11-19,4244.890985,11.69
2012-11-20,3954.053075,11.68
2012-11-21,2734.337924,11.68
2012-11-22,9249.744581,12.12
2012-11-23,2130.564123,12.19
2012-11-24,1428.222052,12.35
2012-11-25,1268.93248,12.39
2012-11-26,4345.35738,12.4
2012-11-27,3948.830756,12.23
2012-11-28,4057.651839,12.74
2012-11-29,4156.664285,12.41
2012-11-30,4177.565241,12.46
2012-12-01,1280.998979,12.46
2012-12-02,2350.834753,12.47
2012-12-03,5152.1598210600005,12.6
2012-12-04,5059.688863,13.01
2012-12-05,2973.4670940299998,13.43
2012-12-06,4879.83649,13.59
2012-12-07,3011.443518,13.48
2012-12-08,507.8352362,13.37
2012-12-09,1289.743816,13.36
2012-12-10,6432.40334,13.4
2012-12-11,3068.272459,13.43
2012-12-12,3767.263363,13.5
2012-12-13,5085.323607,13.52
2012-12-14,6118.700054,13.94
2012-12-15,1306.174727,13.4
2012-12-16,1150.865157,13.44
2012-12-17,5324.056763,13.32
2012-12-18,5421.572456,13.62
2012-12-19,4993.04609,13.41
2012-12-20,2060.370281,13.44
2012-12-21,2297.453812,13.41
2012-12-22,817.1740682,13.37
2012-12-23,795.3047373,13.26
2012-12-24,1292.010332,13.24
2012-12-25,1162.285438,13.25
2012-12-26,2396.806218,13.25
2012-12-27,3257.568451,13.25
2012-12-28,4036.415497,13.29
2012-12-29,282.6792572,13.26
2012-12-30,994.8286931,13.29
2012-12-31,1605.48923,13.29
2013-01-01,2100.696148,13.24
2013-01-02,1885.166831,13.19
2013-01-03,3516.024605,13.26
2013-01-04,2609.426331,13.24
2013-01-05,1335.927607,13.17
2013-01-06,471.3133795,13.15
2013-01-07,4537.151988,13.2
2013-01-08,5490.482534,13.52
2013-01-09,4726.160342,13.67
2013-01-10,3977.697838,14.19
2013-01-11,3592.7848655400003,14.1
2013-01-12,712.9623826,14.06
2013-01-13,1848.710596,14.03
2013-01-14,5017.226634,14.28
2013-01-15,4325.967218,14.32
2013-01-16,5586.497235,14.7
2013-01-17,5657.28367,15.68
2013-01-18,6008.0720433900005,15.7
2013-01-19,1856.800086,15.6
2013-01-20,1771.171821,15.72
2013-01-21,5376.069272,16.98
2013-01-22,3955.782911,17.6
2013-01-23,5632.761725,18.11
2013-01-24,16098.55016,19.2
2013-01-25,3380.731851,17.72
2013-01-26,2082.431754,17.49
2013-01-27,2885.097898,17.73
2013-01-28,5158.257495,18.75
2013-01-29,4373.253153,19.85
2013-01-30,2732.071002,19.51
2013-01-31,5857.597774,21
2013-02-01,3301.013483,20.9
2013-02-02,4838.060227,20.32
2013-02-03,2565.484032,20.6
2013-02-04,4446.920862,20.7
2013-02-05,3992.12947,20.75
2013-02-06,2454.824712,20.99
2013-02-07,6774.707773,22.16
2013-02-08,2308.104459,22.63
2013-02-09,2473.044681,23.5
2013-02-10,1966.850038,23.8
2013-02-11,4356.223087,24.02
2013-02-12,7493.224988,25.85
2013-02-13,9132.275992,26
2013-02-14,6628.777906,27.5
2013-02-15,3199.629663,27.56
2013-02-16,2535.228508,27.58
2013-02-17,8136.659899,27.5
2013-02-18,5023.923661,27.6
2013-02-19,7827.131595,29.64
2013-02-20,3843.625515,30.07
2013-02-21,3792.26089,30.42
2013-02-22,6558.162788,31.49
2013-02-23,3177.593484,30.05
2013-02-24,1335.771556,30.37
2013-02-25,2615.826104,30.49
2013-02-26,4557.499567,32
2013-02-27,5012.2648605800005,32.59
2013-02-28,5024.018838,34.42
2013-03-01,4113.097113,34.75
2013-03-02,995.4621461,34.77
2013-03-03,1249.280659,34.46
2013-03-04,6747.228253,37.49
2013-03-05,7160.365838,45.07
2013-03-06,17503.51678,49.17
2013-03-07,9173.659273,44.79
2013-03-08,3883.250168,44.37
2013-03-09,3051.1834532000003,46.5
2013-03-10,1052.444896,47
2013-03-11,7455.203075,48.38
2013-03-12,7346.180981,46.82
2013-03-13,4060.474414,47.65
2013-03-14,2510.8992,47.97
2013-03-15,1207.447256,47.29
2013-03-16,806.6532991,47
2013-03-17,1095.529439,47.24
2013-03-18,6696.562516,52
