video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled
DaAp7p3ZkIs,881450,6775,459,3263,FALSE,FALSE
cWvTb-5bjFc,2294720,104305,3226,6139,FALSE,FALSE
wswvNZveNHc,619365,11306,5766,5241,FALSE,FALSE
BVFN9if4Ztc,604928,20036,814,3026,FALSE,FALSE
KabUi5XN8vg,460100,21444,464,1809,FALSE,FALSE
2vPw8QbzFTo,1241757,20076,772,3300,FALSE,FALSE
SKV6h_5XFbk,9153779,229492,4077,9533,FALSE,FALSE
QxxD3EAq_qY,4083,115,1,10,FALSE,FALSE
nKasG-4PKG4,68187,1660,112,1489,FALSE,FALSE
Y98FdMjOh6Y,86562,264,35,103,FALSE,FALSE
1ls1Xa6bIZQ,61323,4994,57,539,FALSE,FALSE
AnRkugr7r2o,1462289,105554,6374,17047,FALSE,FALSE
oaJoZDJMQyU,339914,12554,214,1426,FALSE,FALSE
pjZuxJ3o_TQ,140724,1169,61,61,FALSE,FALSE
SO0HTI8QuQU,229334,7180,221,240,FALSE,FALSE
lfN3wZDaiv4,6389668,394968,19174,40755,FALSE,FALSE
NYMcACJLqJs,1862357,41625,896,2146,FALSE,FALSE
hiqEFs2okMA,158301,6283,169,1004,FALSE,FALSE
6X-d9wqJfCE,205991,1418,151,151,FALSE,FALSE
oVsQ92LVddo,924073,28026,681,3164,FALSE,FALSE
8ap3UjZhd-U,557500,5162,1033,0,TRUE,FALSE
TKvMuJoNdEI,939800,2866,432,662,FALSE,FALSE
vi8y8PxW5h4,665956,32578,564,6011,FALSE,FALSE
T1B1CxmAXLk,1491029,7509,1450,966,FALSE,FALSE
FepIkIILumA,15125389,454599,21411,32803,FALSE,FALSE
BxxFNkNf6q8,2025937,41926,2069,5341,FALSE,FALSE
3SfZKkrwCIA,526070,33355,631,10187,FALSE,FALSE
jzLlsbdrwQk,4475322,83846,9655,10404,FALSE,FALSE
KSdmOeSm5ms,408487,17953,350,2253,FALSE,FALSE
Dto7Nms-Xo0,8478489,77598,12355,3981,FALSE,FALSE
JJaOjiANqbE,503629,3497,365,696,FALSE,FALSE
RRrFRoGfXlQ,295794,24925,186,3678,FALSE,FALSE
NoUcOismOww,203524,1505,45,247,FALSE,FALSE
3dlZyig8osQ,144788,1175,161,671,FALSE,FALSE
4UuhZrtA1Sw,484452,4425,115,343,FALSE,FALSE
nLhjbuHonSE,431551,2454,597,287,FALSE,FALSE
QrKeTpWyRFs,5959,60,2,11,FALSE,FALSE
cxfIeFEaTHc,987890,6528,1261,5130,FALSE,FALSE
CeQq-W19js4,70732,932,16,242,FALSE,FALSE
f6Bs62yMlqg,237347,1431,134,182,FALSE,FALSE
G80BTq6zIkg,143666,849,55,128,FALSE,FALSE
gNU2LysoxpM,280027,8272,301,3245,FALSE,FALSE
dDGokZjoqHM,171453,397,192,148,FALSE,FALSE
alETHGFEpuQ,90149,557,67,103,FALSE,FALSE
IN4cCNNDHA4,33890,686,24,147,FALSE,FALSE
-3b2Fov6iQY,16245,513,22,53,FALSE,FALSE
jlG0zlSm4zA,144919,535,161,31,FALSE,FALSE
qpwnMTn0K2Q,257161,1711,289,169,FALSE,FALSE
G_ZKYIRhb3Y,67474,862,17,41,FALSE,FALSE
d-Dn2UFOM70,2636538,85990,13972,18983,FALSE,FALSE
lddXMBv8hHE,253532,14522,300,1146,FALSE,FALSE
0mkRgPGncn0,644613,2770,75,914,FALSE,FALSE
DTGxzYo_YyY,1546364,90023,1053,9763,FALSE,FALSE
Py8VDZKrWEA,131547,4333,76,738,FALSE,FALSE
BOPFQTlrOmU,361736,2218,292,386,FALSE,FALSE
efOa93LFSQ8,94079,6545,24,616,FALSE,FALSE
u5lxsBjCGc0,13940642,121444,4667,3918,FALSE,FALSE
g4Hbz2jLxvQ,10997686,336017,13271,35648,FALSE,FALSE
Yj_Bc9hdHa0,338773,3911,998,3767,FALSE,FALSE
RsuYAp5Myco,1734630,9490,946,1105,FALSE,FALSE
Fi9j_dtPU2M,633993,4430,855,284,FALSE,FALSE
F0M8X4anS0c,435949,35518,769,2861,FALSE,FALSE
Snrk9ug2VFE,9083936,0,0,2593,FALSE,TRUE
39nNRQ1gR3c,3790864,149079,4184,16369,FALSE,FALSE
9ynR5n97qCI,1033344,32842,825,1078,FALSE,FALSE
j-ivAyqJh0Y,951618,7053,1171,960,FALSE,FALSE
jua2rmJg7hI,426620,3838,638,2390,FALSE,FALSE
y82iFW1fzpY,22132,1143,13,89,FALSE,FALSE
uUvgMnzplt4,1741871,126168,1374,11036,FALSE,FALSE
p-yIGS9eW-o,784361,7365,439,951,FALSE,FALSE
R_fSq-mmK2M,632959,15254,466,3679,FALSE,FALSE
JrnSfMggWIQ,62249,994,107,182,FALSE,FALSE
RK45yp8uyHA,153251,1186,67,641,FALSE,FALSE
kYJFCHTS9cA,942015,75363,1668,4265,FALSE,FALSE
SrQl4CyvWUY,245912,3473,170,956,FALSE,FALSE
azFsk42kb5E,978719,28033,239,1374,FALSE,FALSE
rsEne1ZiQrk,221160,27517,134,2587,FALSE,FALSE
