type,id,name,lat,lon,cuisine,brand
node,5427016522,Rooster Coffee House,43.6691616,-79.352812,,
node,5427073221,Broadview Espresso,43.6784946,-79.3581959,,
node,5437522548,Formocha,43.6549965,-79.4170911,bubble_tea,
node,5440251022,Press Books Coffee Vinyl,43.6877636,-79.3045248,,
node,5442962147,Cool Hand of a Girl,43.66549,-79.462863,,
node,5442972523,Phancy's Bodega,43.6597255,-79.4537589,sandwich,
node,5443328122,Moments,43.6511365,-79.4122851,,
node,5443454822,Tre Mari Bakery,43.6765099,-79.4486825,,
node,5443462221,Wallace Espresso,43.6648975,-79.4557359,,
node,5448317525,Jimmy's Coffee,43.6557581,-79.3921888,,
node,5456905523,Sweat & Soda,43.6618267,-79.3361274,,
node,5459672222,Letterbox Doughnuts,43.6397992,-79.4412683,donut,
node,5465474221,La Bohème Café Patisserie,43.711762,-79.3991858,,
node,5467605638,Douce France,43.6798035,-79.3412336,,
node,5476199331,Contra Café,43.6689927,-79.4261273,,
node,5476234421,Village Juicery,43.6421076,-79.4472562,juice,
node,5478431221,Reunion Coffee Roasters,43.6505393,-79.4505206,,
node,5503866476,Capital Espresso,43.6408698,-79.4346043,coffee_shop,
node,5508637325,Sunnyside Provisions,43.6476388,-79.4493819,,
node,5508698021,Affect Coffee,43.6475238,-79.4493438,coffee_shop,
node,5508901522,Gong Cha,43.6487475,-79.3968767,bubble_tea,Gong Cha
node,5531936321,Tim Hortons,43.6100535,-79.5531091,coffee_shop,Tim Hortons
node,5546015595,Tim Hortons,43.7741376,-79.4134417,coffee_shop,Tim Hortons
node,5558178183,Tim Hortons,43.7790453,-79.4148435,coffee_shop,Tim Hortons
node,5573985522,Fika,43.6535356,-79.4004052,,
node,5575053267,Hibiscus Vegan Cafe,43.6554098,-79.4026596,,
node,5575081852,Calli Love,43.6458179,-79.3927448,,
node,5585260721,Dipped Donuts and Coffee,43.6414298,-79.4331707,coffee_shop,
node,5594977293,A Corner Cafe,43.7703242,-79.412938,,
node,5607825534,Ten Ren's Tea,43.7692555,-79.4122955,taiwanese;bubble_tea;tea,
node,5632878215,Tim Hortons,43.7068738,-79.3989909,coffee_shop,Tim Hortons
node,5632878216,Starbucks,43.7068271,-79.3989663,coffee_shop,Starbucks
node,5665098638,Hale,43.6653503,-79.4500069,coffee_shop,
