,C0,C1,C2,C3,C4,C5,C6
988,ItJkf5V4psw,530168,11890,469,407,False,False
989,Ni9yip7Ev_w,1405827,103776,2899,11424,False,False
990,DGPmgwTTOBQ,322162,10115,133,2389,False,False
991,uyUQZCdu1t4,498255,22338,998,1952,False,False
992,rXuV7AYnwA8,17611,585,2,91,False,False
993,sgX_83cHOVs,325896,9693,236,2001,False,False
994,FH_b5PtQFyQ,208552,2235,172,671,False,False
995,wc27wBExdyw,108376,534,57,74,False,False
996,syAXXLxO8tw,910675,46643,791,1619,False,False
997,0kMYy9kU9jU,294246,22999,281,1194,False,False
998,VUYFDSs3Wlk,187172,923,28,44,False,False
999,HX8vJYcxQH4,677386,2688,165,277,False,False
