,C0,C1,C2,C3,C4,C5,C6
624,gzftYBJ4xSQ,566908,26601,116,2361,False,False
625,0oj_NpgyZ5Q,837867,36675,549,16619,False,False
626,My-BcgfkPII,383123,3916,356,3196,False,False
627,ssVrzoCgr_w,1577521,15755,694,1892,False,False
628,JczzDGg0W2c,83191,4351,30,883,False,False
629,lelkwk8NHmM,11123,29,7,0,True,False
630,Y5PvmIruT0c,165934,915,104,171,False,False
631,72hlr-E7KA0,373453,15830,267,1198,False,False
632,#NAME?,1045258,29564,550,3893,False,False
633,BJDrepc-shM,151566,1323,233,395,False,False
634,uxbS6j1B1Ps,155131,6557,81,509,False,False
635,FelD6sjhsL8,408471,1196,287,562,False,False
636,_vwA94hYG0U,406980,20065,203,1630,False,False
637,csDI2JtSDUU,269061,1343,207,391,False,False
638,nLpqZEAFnkE,7475736,262654,17393,28993,False,False
639,xPolwJyjb4k,422252,3465,66,258,False,False
640,BBYCVYqS4T8,403250,42283,208,7588,False,False
641,Br8r5qLiu3s,65878,2657,101,942,False,False
642,3bzlb22qTvE,451464,14193,376,1468,False,False
643,yd4T78x6Zhc,401875,17364,501,2763,False,False
644,aubTgsFC4Fo,996261,26687,819,2571,False,False
645,iQO9yRutpso,2149866,29771,2263,1064,False,False
646,tzq7TskZ8Wc,2755971,261198,2065,13037,False,False
647,pP6r2Gy_dTs,712290,17066,611,1255,False,False
648,foTr-nfrvTI,1837686,78569,14988,12964,False,False
649,qN8DRJ8OMcA,482320,34826,248,2885,False,False
650,5f2IaWnY4Fk,303232,15101,157,1606,False,False
651,sF3H48pN4Ao,198677,6984,150,2067,False,False
652,Y3BA-O0dNH0,39748,2108,44,169,False,False
653,ynJm_HQfyW4,1335925,7878,461,641,False,False
654,5nHCpyHzaU4,377002,19376,194,2709,False,False
655,_fVUX6-7VKE,795360,4989,801,2755,False,False
656,zuamC-WhLZI,26270,66,7,73,False,False
657,Duc3F700lgE,534602,8151,359,1539,False,False
658,ox1gTZU47uo,209008,1669,106,866,False,False
659,dS-9OS4qTi8,50704,171,33,55,False,False
660,qEpdEJNrLqc,554511,21235,826,1823,False,False
661,_Jf3yhlpRL8,294004,3491,537,1338,False,False
662,F4uWufIRUDg,25651,1446,54,395,False,False
663,Oapebl0bADA,1187128,75762,871,4106,False,False
664,R9Z3BIoH41M,70186,118,20,116,False,False
665,6uGQ_ypTw08,800886,50334,793,4396,False,False
666,0Le9b09TfTo,163055,2430,786,2638,False,False
667,nWc-bIEOtQo,185299,4654,75,1040,False,False
668,rsEne1ZiQrk,11364107,401558,6736,20180,False,False
669,KLMcxlT8zEQ,33653,323,14,67,False,False
670,gN_L27itbTA,1914518,292385,8701,27180,False,False
671,XGgqTcnDg-s,156108,1861,200,307,False,False
672,#NAME?,855521,29283,268,3118,False,False
673,5EPJqX1vmFk,440824,12104,158,1676,False,False
674,o7k7euAt-E8,449210,1249,413,79,False,False
675,T732vvf9QfY,405459,10777,272,1665,False,False
676,oNL_eKg_TiY,229066,15382,446,50,False,False
677,VW38tyCVAUY,84315,1087,57,131,False,False
678,wMcTCu-PcsM,103429,6565,92,853,False,False
679,pOWq8Y15WNY,219588,7784,60,1121,False,False
680,NcOmVLnaeFk,780890,52917,534,3427,False,False
681,VXQ1FD77egw,412342,14023,727,2358,False,False
682,X2GJWR3uN_U,2349330,39571,2344,54599,False,False
683,Ivl044_cFS0,168970,1472,74,527,False,False
684,LPCxBsECSQs,516980,5685,217,633,False,False
685,Oh4kio5hYn8,1401237,70836,1178,7866,False,False
686,t6jLE2PIOYU,1730368,41402,1711,1341,False,False
687,Qw9iXcumulM,3851850,14211,2200,1309,False,False
688,3nPEkZv0-OU,3970867,82062,2175,8898,False,False
689,RPE3cglo9o0,634249,27990,462,2881,False,False
690,dZQmi3aeUEg,417879,8818,589,641,False,False
691,leOoTaEuIbc,205729,7265,189,816,False,False
692,rDl3gAJpm_4,1432565,87676,1579,5020,False,False
693,SGtiZlq4n8k,366105,1256,341,538,False,False
694,9hi-h3iahHI,405176,22261,2375,8665,False,False
695,J37CSA16k7k,128704,0,0,644,False,True
696,atLL2Yzi3bg,911324,34919,444,1753,False,False
697,8b6IQQMRYCA,1390124,18997,608,2236,False,False
698,XtrKCe5JeeM,109180,541,18,16,False,False
699,lb1PqzE9h0s,354474,23887,550,1826,False,False
700,mkpINSUnDpA,1800253,24024,546,3570,False,False
701,Z1ZUWfsIsRI,253224,7432,257,1220,False,False
702,zUzBfBqbSmc,307558,46526,404,4888,False,False
